"country","date","variable","value"
"Nicaragua",2020-04-05,"grocery and pharmacy",-20
"Nicaragua",2020-04-04,"grocery and pharmacy",-13
"Nicaragua",2020-04-03,"grocery and pharmacy",-12
"Nicaragua",2020-04-02,"grocery and pharmacy",-16
"Nicaragua",2020-04-01,"grocery and pharmacy",-16
"Nicaragua",2020-03-31,"grocery and pharmacy",-15
"Nicaragua",2020-03-30,"grocery and pharmacy",-16
"Nicaragua",2020-03-29,"grocery and pharmacy",-25
"Nicaragua",2020-03-28,"grocery and pharmacy",-20
"Nicaragua",2020-03-27,"grocery and pharmacy",-21
"Nicaragua",2020-03-26,"grocery and pharmacy",-24
"Nicaragua",2020-03-25,"grocery and pharmacy",-22
"Nicaragua",2020-03-24,"grocery and pharmacy",-19
"Nicaragua",2020-03-23,"grocery and pharmacy",-15
"Nicaragua",2020-03-22,"grocery and pharmacy",-21
"Nicaragua",2020-03-21,"grocery and pharmacy",-14
"Nicaragua",2020-03-20,"grocery and pharmacy",-5
"Nicaragua",2020-03-19,"grocery and pharmacy",7
"Nicaragua",2020-03-18,"grocery and pharmacy",5
"Nicaragua",2020-03-17,"grocery and pharmacy",6
"Nicaragua",2020-03-16,"grocery and pharmacy",9
"Nicaragua",2020-03-15,"grocery and pharmacy",10
"Nicaragua",2020-03-14,"grocery and pharmacy",10
"Nicaragua",2020-03-13,"grocery and pharmacy",7
"Nicaragua",2020-03-12,"grocery and pharmacy",3
"Nicaragua",2020-03-11,"grocery and pharmacy",0
"Nicaragua",2020-03-10,"grocery and pharmacy",1
"Nicaragua",2020-03-09,"grocery and pharmacy",2
"Nicaragua",2020-03-08,"grocery and pharmacy",3
"Nicaragua",2020-03-07,"grocery and pharmacy",4
"Nicaragua",2020-03-06,"grocery and pharmacy",4
"Nicaragua",2020-03-05,"grocery and pharmacy",3
"Nicaragua",2020-03-04,"grocery and pharmacy",0
"Nicaragua",2020-03-03,"grocery and pharmacy",0
"Nicaragua",2020-03-02,"grocery and pharmacy",3
